subject,body,label
Meeting Invitation: Sprint 41 Planning,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Virus Alert: 21277 trojan infections detected on your PC,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-21277.top,1
URGENT: Suspicious activity on your account #69009,I am currently in an urgent board meeting and cannot take calls. Please wire $69009 to our new supplier immediately and email me the payment slip.,1
URGENT: Suspicious activity on your account #18485,Your package #USPS-18485-ZA is held at our depot due to incomplete delivery address. Pay $77 redelivery fee at http://usps-tracking-update-257.com,1
Quarterly Financial Performance Summary Q30,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Doctor Appointment Reminder for Thursday at 30:00 PM,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Instant Crypto Profit: Guarantee 47968% ROI in 24 hours,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 47968% discount. Visit http://discount-rx-10.com,1
IRS Tax Refund Alert: Claim your $93957 refund today,We could not process your bill of $93957. Please update your billing address and credit card info immediately: http://account-billing-update-85.com,1
Quarterly Financial Performance Summary Q97,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Receipt for your Uber ride - $95,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
IRS Tax Refund Alert: Claim your $98633 refund today,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 98633% discount. Visit http://discount-rx-18.com,1
Library Book Due Reminder - 43,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Weekly Fitness & Activity Summary,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Weekly Engineering Newsletter - Issue #71,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Doctor Appointment Reminder for Thursday at 8:00 PM,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Double your Bitcoin in 24 hours automatically,Invest $59418 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-97.org now.,1
Hot singles near your area are looking for a chat - Profile #96633,Call Microsoft certified technicians right now at +1-800-555-96633 for instant remote removal of dangerous malware on your computer.,1
Library Book Due Reminder - 65,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Refinance your mortgage at low rates of 13576.99%,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 13576% discount. Visit http://discount-rx-39.com,1
Re: Project Update & Q15 Roadmap Review,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Weekly Engineering Newsletter - Issue #37,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
GitHub Security Alert: Dependabot updated package in repo #31,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Get FDA approved prescriptions online - 84076% discount,You have been selected in our international lottery draw! Send your full address and bank details to claim your $84076 prize at claims@lottorewards-40.net.,1
Get FDA approved prescriptions online - 95188% discount,Bad credit score? No problem! Get instant approval for a personal loan of $95188 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-98.net,1
Double your Bitcoin in 24 hours automatically,You have been selected in our international lottery draw! Send your full address and bank details to claim your $36257 prize at claims@lottorewards-34.net.,1
Re: Project Update & Q66 Roadmap Review,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Doctor Appointment Reminder for Thursday at 70:00 PM,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Code Review Request: PR #9 - Fix layout bug,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Action Required: Your Netflix subscription payment of $53288 failed,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-53288.top,1
Executive Wire Transfer Request - Confidential $11727,Invest $11727 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-36.org now.,1
Fast personal loan approved up to $30525 - No credit check,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-30525.top,1
Doctor Appointment Reminder for Thursday at 44:00 PM,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Dinner plans for tonight at 64:00 PM?,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Receipt for your Uber ride - $64,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Invoice #INV-2026-18 Attached for Payment,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Claim your free iPhone 15 Pro Max now - 40561 unclaimed reward,You have been selected in our international lottery draw! Send your full address and bank details to claim your $40561 prize at claims@lottorewards-16.net.,1
Receipt for your Uber ride - $9,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
IRS Tax Refund Alert: Claim your $51997 refund today,You have been selected in our international lottery draw! Send your full address and bank details to claim your $51997 prize at claims@lottorewards-88.net.,1
Fast personal loan approved up to $57271 - No credit check,Call Microsoft certified technicians right now at +1-800-555-57271 for instant remote removal of dangerous malware on your computer.,1
Dinner plans for tonight at 1:00 PM?,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Double your Bitcoin in 24 hours automatically,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-46593.com or your account will be locked.",1
Claim your free iPhone 15 Pro Max now - 80538 unclaimed reward,Invest $80538 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-70.org now.,1
Action Required: Your Netflix subscription payment of $76987 failed,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-76987.com or your account will be locked.",1
Executive Wire Transfer Request - Confidential $59870,Your package #USPS-59870-ZA is held at our depot due to incomplete delivery address. Pay $10 redelivery fee at http://usps-tracking-update-443.com,1
Flight Confirmation: NYC to London (Ref: 64),Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Claim your free iPhone 15 Pro Max now - 60345 unclaimed reward,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-60345.top,1
Flight Confirmation: NYC to London (Ref: 4),We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Executive Wire Transfer Request - Confidential $80712,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 80712% discount. Visit http://discount-rx-53.com,1
Action Required: Your Netflix subscription payment of $26273 failed,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-26273.top,1
Meeting Invitation: Sprint 93 Planning,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Weekly Engineering Newsletter - Issue #15,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Re: Project Update & Q27 Roadmap Review,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Invoice #INV-2026-44 Attached for Payment,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Double your Bitcoin in 24 hours automatically,You have been selected in our international lottery draw! Send your full address and bank details to claim your $47438 prize at claims@lottorewards-70.net.,1
Executive Wire Transfer Request - Confidential $51697,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 51697% discount. Visit http://discount-rx-61.com,1
Double your Bitcoin in 24 hours automatically,I am currently in an urgent board meeting and cannot take calls. Please wire $86604 to our new supplier immediately and email me the payment slip.,1
Dinner plans for tonight at 71:00 PM?,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Quarterly Financial Performance Summary Q92,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Receipt for your Uber ride - $61,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Meeting Invitation: Sprint 27 Planning,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Meeting Invitation: Sprint 93 Planning,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
URGENT: Suspicious activity on your account #72867,Your package #USPS-72867-ZA is held at our depot due to incomplete delivery address. Pay $93 redelivery fee at http://usps-tracking-update-445.com,1
Instant Crypto Profit: Guarantee 50732% ROI in 24 hours,Invest $50732 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-25.org now.,1
Invoice #INV-2026-57 Attached for Payment,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Final Warning: Your Amazon order #77783 requires identity verification,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 77783% discount. Visit http://discount-rx-93.com,1
Virus Alert: 21340 trojan infections detected on your PC,Bad credit score? No problem! Get instant approval for a personal loan of $21340 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-21.net,1
Receipt for your Uber ride - $75,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
CONGRATULATIONS! You won $49749 USD cash prize,I am currently in an urgent board meeting and cannot take calls. Please wire $49749 to our new supplier immediately and email me the payment slip.,1
Invoice #INV-2026-50 Attached for Payment,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Unclaimed inheritance of $43366 Million from Barrister Smith,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-43366.com or your account will be locked.",1
CONGRATULATIONS! You won $32528 USD cash prize,Your package #USPS-32528-ZA is held at our depot due to incomplete delivery address. Pay $75 redelivery fee at http://usps-tracking-update-293.com,1
URGENT: Suspicious activity on your account #29691,We could not process your bill of $29691. Please update your billing address and credit card info immediately: http://account-billing-update-73.com,1
Receipt for your Uber ride - $38,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Instant Crypto Profit: Guarantee 9374% ROI in 24 hours,I am currently in an urgent board meeting and cannot take calls. Please wire $9374 to our new supplier immediately and email me the payment slip.,1
Code Review Request: PR #12 - Fix layout bug,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Instant Crypto Profit: Guarantee 30291% ROI in 24 hours,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 30291% discount. Visit http://discount-rx-69.com,1
Library Book Due Reminder - 6,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Meeting Invitation: Sprint 35 Planning,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Fast personal loan approved up to $16000 - No credit check,Your package #USPS-16000-ZA is held at our depot due to incomplete delivery address. Pay $38 redelivery fee at http://usps-tracking-update-615.com,1
Executive Wire Transfer Request - Confidential $36472,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 36472% discount. Visit http://discount-rx-46.com,1
Claim your free iPhone 15 Pro Max now - 50446 unclaimed reward,Your package #USPS-50446-ZA is held at our depot due to incomplete delivery address. Pay $56 redelivery fee at http://usps-tracking-update-382.com,1
Fast personal loan approved up to $87944 - No credit check,I am currently in an urgent board meeting and cannot take calls. Please wire $87944 to our new supplier immediately and email me the payment slip.,1
Meeting Invitation: Sprint 5 Planning,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Executive Wire Transfer Request - Confidential $14149,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-14149.top,1
Virus Alert: 2704 trojan infections detected on your PC,You have been selected in our international lottery draw! Send your full address and bank details to claim your $2704 prize at claims@lottorewards-68.net.,1
Flight Confirmation: NYC to London (Ref: 15),We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
GitHub Security Alert: Dependabot updated package in repo #41,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Refinance your mortgage at low rates of 88074.99%,Bad credit score? No problem! Get instant approval for a personal loan of $88074 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-38.net,1
Refinance your mortgage at low rates of 62394.99%,Call Microsoft certified technicians right now at +1-800-555-62394 for instant remote removal of dangerous malware on your computer.,1
Virus Alert: 89577 trojan infections detected on your PC,We could not process your bill of $89577. Please update your billing address and credit card info immediately: http://account-billing-update-57.com,1
Re: Project Update & Q38 Roadmap Review,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Executive Wire Transfer Request - Confidential $89572,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 89572% discount. Visit http://discount-rx-21.com,1
Team Lunch on Friday - RSVP needed,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Unclaimed inheritance of $72899 Million from Barrister Smith,Call Microsoft certified technicians right now at +1-800-555-72899 for instant remote removal of dangerous malware on your computer.,1
Doctor Appointment Reminder for Thursday at 43:00 PM,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Doctor Appointment Reminder for Thursday at 50:00 PM,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Action Required: Your Netflix subscription payment of $16880 failed,You have been selected in our international lottery draw! Send your full address and bank details to claim your $16880 prize at claims@lottorewards-82.net.,1
URGENT: Suspicious activity on your account #29041,I am currently in an urgent board meeting and cannot take calls. Please wire $29041 to our new supplier immediately and email me the payment slip.,1
Hot singles near your area are looking for a chat - Profile #20451,Call Microsoft certified technicians right now at +1-800-555-20451 for instant remote removal of dangerous malware on your computer.,1
Quarterly Financial Performance Summary Q89,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Virus Alert: 26891 trojan infections detected on your PC,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-26891.com or your account will be locked.",1
Claim your free iPhone 15 Pro Max now - 58675 unclaimed reward,Bad credit score? No problem! Get instant approval for a personal loan of $58675 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-54.net,1
Fast personal loan approved up to $33955 - No credit check,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 33955% discount. Visit http://discount-rx-65.com,1
Claim your free iPhone 15 Pro Max now - 72528 unclaimed reward,Bad credit score? No problem! Get instant approval for a personal loan of $72528 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-97.net,1
Quarterly Financial Performance Summary Q8,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Invoice #INV-2026-34 Attached for Payment,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Draft Copy for Product Marketing Brochure #48,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Meeting Invitation: Sprint 55 Planning,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Dinner plans for tonight at 73:00 PM?,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
URGENT: Suspicious activity on your account #12849,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-12849.top,1
Instant Crypto Profit: Guarantee 8309% ROI in 24 hours,We could not process your bill of $8309. Please update your billing address and credit card info immediately: http://account-billing-update-38.com,1
Draft Copy for Product Marketing Brochure #60,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Get FDA approved prescriptions online - 74174% discount,I am currently in an urgent board meeting and cannot take calls. Please wire $74174 to our new supplier immediately and email me the payment slip.,1
Action Required: Your Netflix subscription payment of $53551 failed,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-53551.com or your account will be locked.",1
Fast personal loan approved up to $50965 - No credit check,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-50965.top,1
Re: Project Update & Q52 Roadmap Review,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Get FDA approved prescriptions online - 5488% discount,Invest $5488 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-34.org now.,1
Weekly Engineering Newsletter - Issue #90,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Code Review Request: PR #66 - Fix layout bug,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Library Book Due Reminder - 28,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
GitHub Security Alert: Dependabot updated package in repo #86,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Doctor Appointment Reminder for Thursday at 48:00 PM,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Claim your free iPhone 15 Pro Max now - 34371 unclaimed reward,You have been selected in our international lottery draw! Send your full address and bank details to claim your $34371 prize at claims@lottorewards-15.net.,1
Flight Confirmation: NYC to London (Ref: 96),"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
GitHub Security Alert: Dependabot updated package in repo #22,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Executive Wire Transfer Request - Confidential $62400,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 62400% discount. Visit http://discount-rx-66.com,1
Fast personal loan approved up to $63397 - No credit check,Bad credit score? No problem! Get instant approval for a personal loan of $63397 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-60.net,1
Refinance your mortgage at low rates of 30765.99%,Invest $30765 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-75.org now.,1
URGENT: Suspicious activity on your account #81290,Call Microsoft certified technicians right now at +1-800-555-81290 for instant remote removal of dangerous malware on your computer.,1
Weekly Fitness & Activity Summary,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Meeting Invitation: Sprint 68 Planning,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Dinner plans for tonight at 55:00 PM?,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Weekly Fitness & Activity Summary,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Quarterly Financial Performance Summary Q2,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Weekly Engineering Newsletter - Issue #2,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Team Lunch on Friday - RSVP needed,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Doctor Appointment Reminder for Thursday at 50:00 PM,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Flight Confirmation: NYC to London (Ref: 66),Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Get FDA approved prescriptions online - 70176% discount,Call Microsoft certified technicians right now at +1-800-555-70176 for instant remote removal of dangerous malware on your computer.,1
Draft Copy for Product Marketing Brochure #65,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Re: Project Update & Q89 Roadmap Review,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Doctor Appointment Reminder for Thursday at 99:00 PM,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Instant Crypto Profit: Guarantee 67463% ROI in 24 hours,You have been selected in our international lottery draw! Send your full address and bank details to claim your $67463 prize at claims@lottorewards-78.net.,1
Receipt for your Uber ride - $15,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Meeting Invitation: Sprint 34 Planning,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Receipt for your Uber ride - $20,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Re: Project Update & Q40 Roadmap Review,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Library Book Due Reminder - 51,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Hot singles near your area are looking for a chat - Profile #71026,We could not process your bill of $71026. Please update your billing address and credit card info immediately: http://account-billing-update-50.com,1
URGENT: Suspicious activity on your account #61255,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-61255.top,1
Action Required: Your Netflix subscription payment of $68882 failed,Bad credit score? No problem! Get instant approval for a personal loan of $68882 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-24.net,1
Doctor Appointment Reminder for Thursday at 70:00 PM,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Claim your free iPhone 15 Pro Max now - 22543 unclaimed reward,I am currently in an urgent board meeting and cannot take calls. Please wire $22543 to our new supplier immediately and email me the payment slip.,1
Double your Bitcoin in 24 hours automatically,We could not process your bill of $5727. Please update your billing address and credit card info immediately: http://account-billing-update-89.com,1
Claim your free iPhone 15 Pro Max now - 25485 unclaimed reward,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 25485% discount. Visit http://discount-rx-50.com,1
Draft Copy for Product Marketing Brochure #77,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Fast personal loan approved up to $80199 - No credit check,Your package #USPS-80199-ZA is held at our depot due to incomplete delivery address. Pay $51 redelivery fee at http://usps-tracking-update-422.com,1
Weekly Fitness & Activity Summary,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Weekly Fitness & Activity Summary,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Draft Copy for Product Marketing Brochure #21,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Instant Crypto Profit: Guarantee 91955% ROI in 24 hours,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-91955.top,1
Instant Crypto Profit: Guarantee 50840% ROI in 24 hours,Your package #USPS-50840-ZA is held at our depot due to incomplete delivery address. Pay $94 redelivery fee at http://usps-tracking-update-908.com,1
Team Lunch on Friday - RSVP needed,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Team Lunch on Friday - RSVP needed,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Weekly Engineering Newsletter - Issue #33,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
URGENT: Suspicious activity on your account #94412,I am currently in an urgent board meeting and cannot take calls. Please wire $94412 to our new supplier immediately and email me the payment slip.,1
IRS Tax Refund Alert: Claim your $39750 refund today,Call Microsoft certified technicians right now at +1-800-555-39750 for instant remote removal of dangerous malware on your computer.,1
Library Book Due Reminder - 97,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Re: Project Update & Q67 Roadmap Review,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Flight Confirmation: NYC to London (Ref: 10),Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Executive Wire Transfer Request - Confidential $47458,Invest $47458 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-38.org now.,1
Refinance your mortgage at low rates of 49822.99%,Your package #USPS-49822-ZA is held at our depot due to incomplete delivery address. Pay $66 redelivery fee at http://usps-tracking-update-89.com,1
Doctor Appointment Reminder for Thursday at 85:00 PM,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Double your Bitcoin in 24 hours automatically,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-31395.com or your account will be locked.",1
Virus Alert: 39255 trojan infections detected on your PC,Call Microsoft certified technicians right now at +1-800-555-39255 for instant remote removal of dangerous malware on your computer.,1
Virus Alert: 44966 trojan infections detected on your PC,I am currently in an urgent board meeting and cannot take calls. Please wire $44966 to our new supplier immediately and email me the payment slip.,1
Action Required: Your Netflix subscription payment of $31658 failed,Invest $31658 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-25.org now.,1
GitHub Security Alert: Dependabot updated package in repo #34,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Flight Confirmation: NYC to London (Ref: 12),We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Action Required: Your Netflix subscription payment of $49696 failed,I am currently in an urgent board meeting and cannot take calls. Please wire $49696 to our new supplier immediately and email me the payment slip.,1
Library Book Due Reminder - 91,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Hot singles near your area are looking for a chat - Profile #81644,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-81644.com or your account will be locked.",1
GitHub Security Alert: Dependabot updated package in repo #50,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Double your Bitcoin in 24 hours automatically,Invest $16569 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-46.org now.,1
Meeting Invitation: Sprint 64 Planning,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Unclaimed inheritance of $52037 Million from Barrister Smith,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-52037.top,1
Library Book Due Reminder - 6,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Dinner plans for tonight at 59:00 PM?,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Hot singles near your area are looking for a chat - Profile #20523,Call Microsoft certified technicians right now at +1-800-555-20523 for instant remote removal of dangerous malware on your computer.,1
Quarterly Financial Performance Summary Q35,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Receipt for your Uber ride - $12,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Meeting Invitation: Sprint 29 Planning,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Refinance your mortgage at low rates of 84806.99%,Invest $84806 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-16.org now.,1
Code Review Request: PR #31 - Fix layout bug,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Unclaimed inheritance of $60664 Million from Barrister Smith,I am currently in an urgent board meeting and cannot take calls. Please wire $60664 to our new supplier immediately and email me the payment slip.,1
Fast personal loan approved up to $81542 - No credit check,You have been selected in our international lottery draw! Send your full address and bank details to claim your $81542 prize at claims@lottorewards-60.net.,1
Meeting Invitation: Sprint 66 Planning,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Meeting Invitation: Sprint 85 Planning,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
URGENT: Suspicious activity on your account #29855,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 29855% discount. Visit http://discount-rx-70.com,1
Weekly Fitness & Activity Summary,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
